date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,dateChecked,death,hospitalized,totalTestResults,lastModified,recovered,total,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,logOfTotalTestResults
19/5/2020,56,1531410,4527786,2944,42023,169945,9598,7217,5032,606,2020-05-19T24:00:00Z,88442,169945,12895781,2020-05-19T24:00:00Z,,0,0,1317,1548,165975,20687,420506,7.110447649
18/5/2020,56,1510723,4361811,3596,41940,168397,9748,7064,5260,602,2020-05-18T24:00:00Z,87125,168397,12475275,2020-05-18T24:00:00Z,,0,0,2964,1132,127310,64776,1093739,7.096050128
15/5/2020,56,1445947,3964409,2457,44553,164335,10476,6890,5744,589,2020-05-15T24:00:00Z,84161,164335,11381536,2020-05-15T24:00:00Z,,0,0,1538,1314,123836,25490,406415,7.056200876
14/5/2020,56,1420457,3840573,2673,45923,163021,10655,6795,5940,582,2020-05-14T24:00:00Z,82623,163021,10975121,2020-05-14T24:00:00Z,,0,0,1853,3160,137271,26773,391455,7.040409317
13/5/2020,56,1393684,3703302,1983,46921,159861,10991,6713,6164,572,2020-05-13T24:00:00Z,80770,159861,10583666,2020-05-13T24:00:00Z,,0,0,1730,1786,116695,21500,345138,7.024636126
12/5/2020,56,1372184,3586607,1803,47343,158075,11241,6585,6350,559,2020-05-12T24:00:00Z,79040,158075,10238528,2020-05-12T24:00:00Z,,0,0,1509,1486,109273,22442,339232,7.010237522
11/5/2020,56,1349742,3477334,1989,46550,156589,11153,6488,6349,551,2020-05-11T24:00:00Z,77531,156589,9899296,2020-05-11T24:00:00Z,,0,0,3382,1374,207145,64576,973887,6.99560431
8/5/2020,56,1285166,3064985,3307,49770,152492,11786,6294,6793,531,2020-05-08T24:00:00Z,74149,152492,8925409,2020-05-08T24:00:00Z,,0,0,1784,6230,104963,27197,312586,6.950628126
7/5/2020,56,1257969,2960022,3171,51445,146262,12135,5174,7067,529,2020-05-07T24:00:00Z,72365,146262,8612823,2020-05-07T24:00:00Z,,0,0,2748,4191,93943,27229,330008,6.935145522
6/5/2020,56,1230740,2866079,2742,52609,142071,12480,4911,4758,449,2020-05-06T24:00:00Z,69617,142071,8282815,2020-05-06T24:00:00Z,,0,0,1918,2154,89076,25256,284216,6.918177961
5/5/2020,56,1205484,2777003,2633,53164,139917,12620,4794,4810,439,2020-05-05T24:00:00Z,67699,139917,7998599,2020-05-05T24:00:00Z,,0,0,2490,1932,104879,22344,278449,6.903013925
4/5/2020,56,1183140,2672124,2791,52375,137985,12701,4579,4852,430,2020-05-04T24:00:00Z,65209,137985,7720150,2020-05-04T24:00:00Z,,0,0,3803,1765,89245,77180,749392,6.887625739
1/5/2020,56,1105960,2408131,1639,54897,132370,12861,4300,4712,376,2020-05-01T24:00:00Z,61406,132370,6970758,2020-05-01T24:00:00Z,,0,0,1809,9874,104558,32808,285823,6.843280006
30/4/2020,56,1073152,2303573,2775,54905,122496,13246,4192,4708,373,2020-04-30T24:00:00Z,59597,122496,6684935,2020-04-30T24:00:00Z,,0,0,2160,2382,81678,30046,275561,6.825097189
29/4/2020,56,1043106,2221895,4832,56009,120114,13550,4093,4803,365,2020-04-29T24:00:00Z,57437,120114,6409374,2020-04-29T24:00:00Z,,0,0,2676,2946,87461,26176,256119,6.806815614
28/4/2020,56,1016930,2134434,4206,56034,117168,13562,3798,4760,252,2020-04-28T24:00:00Z,54761,117168,6153255,2020-04-28T24:00:00Z,,0,0,2078,2014,69320,25234,216665,6.789104913
27/4/2020,56,991696,2065114,4077,56183,115154,13812,3720,4867,252,2020-04-27T24:00:00Z,52683,115154,5936590,2020-04-27T24:00:00Z,,0,0,4138,2245,62965,85455,676636,6.773537056
24/4/2020,56,906241,1822023,4396,57370,108397,14623,2468,5194,227,2020-04-24T24:00:00Z,48545,108397,5259954,2020-04-24T24:00:00Z,,0,0,1974,2388,83279,34226,245379,6.720981946
23/4/2020,56,872015,1738744,4258,59214,106009,14737,2428,5463,227,2020-04-23T24:00:00Z,46571,106009,5014575,2020-04-23T24:00:00Z,,0,0,1809,2820,64842,31953,218113,6.700234131
22/4/2020,56,840062,1673902,4191,59207,103189,15016,2370,5474,227,2020-04-22T24:00:00Z,44762,103189,4796462,2020-04-22T24:00:00Z,,0,0,2085,3086,-183046,29176,334406,6.680921008
21/4/2020,56,810886,1888055,3956,59779,100103,14945,2315,5514,214,2020-04-21T24:00:00Z,42677,100103,4462056,2020-04-21T24:00:00Z,,0,0,2479,2736,63914,26039,166966,6.649535016
20/4/2020,56,784847,1824141,4037,56721,97367,14463,2193,5569,214,2020-04-20T24:00:00Z,40198,97367,4295090,2020-04-20T24:00:00Z,,0,0,5474,2309,70851,81440,465439,6.632972269
17/4/2020,56,703407,1613835,10889,58892,89441,14910,2052,6098,187,2020-04-17T24:00:00Z,34724,89441,3829651,2020-04-17T24:00:00Z,,0,0,2118,3366,69199,31984,172149,6.583159198
16/4/2020,56,671423,1544636,16927,59496,86075,15136,1834,5940,176,2020-04-16T24:00:00Z,32606,86075,3657502,2020-04-16T24:00:00Z,,0,0,2194,3172,79739,31527,183046,6.563184572
15/4/2020,56,639896,1464897,16901,59930,82903,14639,1783,6033,223,2020-04-15T24:00:00Z,30412,82903,3474456,2020-04-15T24:00:00Z,,0,0,2545,3502,57904,29983,149278,6.540886816
14/4/2020,56,609913,1406993,16615,59610,79401,14047,1715,5981,221,2020-04-14T24:00:00Z,27867,79401,3325178,2020-04-14T24:00:00Z,,0,0,2352,3172,73584,25912,160255,6.521814898
13/4/2020,56,584001,1333409,17159,56211,76229,13605,1622,6170,208,2020-04-13T24:00:00Z,25515,76229,3164923,2020-04-13T24:00:00Z,,0,0,7491,4491,58602,117393,580632,6.500363148
9/4/2020,56,466608,1087969,17622,51323,59770,12445,918,5798,39,2020-04-09T24:00:00Z,18024,59770,2584291,2020-04-09T24:00:00Z,,0,0,2051,3829,82730,34961,170558,6.412341415
8/4/2020,56,431647,1005239,17219,45359,55941,10276,862,4142,39,2020-04-08T24:00:00Z,15973,55941,2413733,2020-04-08T24:00:00Z,,0,0,2003,4387,68030,30996,165594,6.382689228
7/4/2020,56,400651,937209,16548,43849,51554,9978,738,4047,43,2020-04-07T24:00:00Z,13970,51554,2248139,2020-04-07T24:00:00Z,,0,0,2038,2931,78959,30430,170116,6.35182316
6/4/2020,56,370221,858250,17283,36159,48623,7079,663,2961,39,2020-04-06T24:00:00Z,11932,48623,2078023,2020-04-06T24:00:00Z,,0,0,4134,2962,69818,87241,498437,6.31765035
3/4/2020,56,282980,611183,61976,25723,36715,4928,335,623,39,2020-04-03T24:00:00Z,7798,36715,1579586,2020-04-03T24:00:00Z,,0,0,1287,4621,54867,31838,142351,6.198543276
2/4/2020,56,251142,556316,62097,22995,32094,4513,305,576,32,2020-04-02T24:00:00Z,6511,32094,1437235,2020-04-02T24:00:00Z,,0,0,1175,4164,51001,28071,130666,6.157527785
1/4/2020,56,223071,505315,59665,20906,27930,3937,256,561,32,2020-04-01T24:00:00Z,5336,27930,1306569,2020-04-01T24:00:00Z,,0,0,5336,4148,44838,223071,1306569,6.11613235
