date,Price,Volume
2020-05-08,10.7,21283840.0
2020-05-07,10.01,20150095.0
2020-05-06,9.56,19824597.0
2020-05-05,9.86,30378956.0
2020-05-04,10.03,25415603.0
2020-05-01,9.76,28060170.0
2020-04-30,10.5,45371418.0
2020-04-29,11.02,37396770.0
2020-04-28,9.52,28480075.0
2020-04-27,8.91,27898061.0
2020-04-24,8.86,46120057.0
2020-04-23,8.92,43729625.0
2020-04-22,8.23,39587394.0
2020-04-21,7.46,34769540.0
2020-04-20,7.63,41590320.0
2020-04-17,7.58,34285961.0
2020-04-16,6.67,26719996.0
2020-04-15,6.95,34832640.0
2020-04-14,7.63,37371521.0
2020-04-13,7.85,46295453.0
2020-04-09,8.21,62280492.0
2020-04-08,8.75,27482466.0
2020-04-07,8.04,40128783.0
2020-04-06,7.91,28246935.0
2020-04-03,7.61,35853956.0
2020-04-02,7.52,51235980.0
2020-04-01,6.6,27134426.0
2020-03-31,6.85,34468465.0
2020-03-30,6.37,28069350.0
2020-03-27,6.39,33399868.0
2020-03-26,7.05,32863646.0
2020-03-25,6.77,51355469.0
2020-03-24,6.63,48337401.0
2020-03-23,5.24,27157821.0
2020-03-20,5.05,49136202.0
2020-03-19,4.8,39768751.0
2020-03-18,4.61,45031285.0
2020-03-17,6.14,36155355.0
2020-03-16,5.94,37930759.0
2020-03-13,7.15,43874064.0
2020-03-12,6.42,38569847.0
2020-03-11,7.83,35887867.0
2020-03-10,8.66,62796799.0
2020-03-09,8.15,74587245.0
2020-03-06,13.07,29991738.0
2020-03-05,14.74,28685833.0
2020-03-04,15.39,30183106.0
2020-03-03,15.95,26029217.0
2020-03-02,17.22,20527804.0
2020-02-28,16.96,27294584.0
2020-02-27,17.39,20068764.0
2020-02-26,18.4,16142505.0
2020-02-25,19.01,13037660.0
2020-02-24,19.83,12538964.0
2020-02-21,21.26,11630951.0
2020-02-20,21.95,7202270.0
2020-02-19,22.28,7035290.0
2020-02-18,21.86,8500228.0
2020-02-14,22.12,8402968.0
2020-02-13,22.19,10072316.0
2020-02-12,22.35,9892431.0
2020-02-11,21.73,12983991.0
2020-02-10,21.4,10097792.0
2020-02-07,21.8,10238359.0
2020-02-06,22.26,8202498.0
2020-02-05,22.58,12033684.0
2020-02-04,21.67,11937493.0
2020-02-03,21.5,11481705.0
2020-01-31,21.81,12501940.0
2020-01-30,21.95,10648437.0
2020-01-29,21.63,10328316.0
2020-01-28,22.08,8773599.0
2020-01-27,21.65,18991975.0
2020-01-24,23.1,11681573.0
2020-01-23,23.58,12567875.0
2020-01-22,23.93,12041715.0
2020-01-21,23.77,21044184.0
2020-01-17,23.96,14377324.0
2020-01-16,23.81,10188021.0
2020-01-15,23.57,9940118.0
2020-01-14,23.94,13325211.0
2020-01-13,23.75,11442651.0
2020-01-10,24.08,8385016.0
2020-01-09,24.19,13479036.0
2020-01-08,24.05,14021067.0
2020-01-07,24.67,12431007.0
2020-01-06,25.39,14419165.0
2020-01-03,24.76,11562581.0
2020-01-02,24.68,9125473.0
