date,Price,Volume
2020-05-08,287.0,3199949.0
2020-05-07,285.0,3162328.0
2020-05-06,288.77,2578448.0
2020-05-05,293.04,2500455.0
2020-05-04,287.54,2894192.0
2020-05-01,284.51,3526099.0
2020-04-30,292.47,7629191.0
2020-04-29,287.65,4254069.0
2020-04-28,288.36,3861362.0
2020-04-27,293.98,3705579.0
2020-04-24,291.29,3264950.0
2020-04-23,285.33,4417842.0
2020-04-22,277.02,3663332.0
2020-04-21,274.19,3975331.0
2020-04-20,282.14,4071143.0
2020-04-17,290.56,5856978.0
2020-04-16,298.43,7735550.0
2020-04-15,281.68,7839788.0
2020-04-14,270.5,4772207.0
2020-04-13,263.51,2964686.0
2020-04-09,264.13,4922000.0
2020-04-08,267.83,6385882.0
2020-04-07,248.04,4982587.0
2020-04-06,248.34,6365311.0
2020-04-03,229.49,4649266.0
2020-04-02,240.44,4336650.0
2020-04-01,237.32,4546746.0
2020-03-31,249.38,5449215.0
2020-03-30,251.28,5327921.0
2020-03-27,242.45,4879463.0
2020-03-26,255.39,7517518.0
2020-03-25,234.49,10012757.0
2020-03-24,219.8,8885537.0
2020-03-23,194.86,10651402.0
2020-03-20,206.59,9362637.0
2020-03-19,219.8,8062892.0
2020-03-18,217.06,12655441.0
2020-03-17,244.22,9640576.0
2020-03-16,225.04,10294054.0
2020-03-13,272.04,9302268.0
2020-03-12,250.41,10361301.0
2020-03-11,277.78,7724616.0
2020-03-10,280.0,7363915.0
2020-03-09,273.44,8057145.0
2020-03-06,283.87,5361322.0
2020-03-05,282.96,5907644.0
2020-03-04,289.42,14530318.0
2020-03-03,261.4,9179952.0
2020-03-02,273.11,8863396.0
2020-02-28,254.96,9959339.0
2020-02-27,253.92,7600729.0
2020-02-26,263.0,6806558.0
2020-02-25,263.39,8167844.0
2020-02-24,277.79,8783911.0
2020-02-21,301.43,2987070.0
2020-02-20,302.13,2883665.0
2020-02-19,305.31,3020954.0
2020-02-18,302.14,3241661.0
2020-02-14,298.78,2485560.0
2020-02-13,302.2,3565456.0
2020-02-12,303.48,6701787.0
2020-02-11,290.79,2990166.0
2020-02-10,287.03,3145784.0
2020-02-07,289.22,3425916.0
2020-02-06,292.46,3043940.0
2020-02-05,295.73,5760323.0
2020-02-04,280.84,4290155.0
2020-02-03,274.02,5646834.0
2020-01-31,272.45,5532583.0
2020-01-30,280.98,4211121.0
2020-01-29,282.9,3962202.0
2020-01-28,285.87,4340903.0
2020-01-27,284.09,4399151.0
2020-01-24,292.81,3677979.0
2020-01-23,299.46,3169596.0
2020-01-22,300.59,3117557.0
2020-01-21,300.53,4962781.0
2020-01-17,298.47,4363150.0
2020-01-16,300.74,3709349.0
2020-01-15,296.41,6081200.0
2020-01-14,288.24,6052841.0
2020-01-13,285.85,6994688.0
2020-01-10,295.13,2477918.0
2020-01-09,294.22,2838201.0
2020-01-08,295.9,3379131.0
2020-01-07,289.79,2496065.0
2020-01-06,291.55,3075610.0
2020-01-03,289.54,2711442.0
2020-01-02,292.5,2543430.0
